Object Name: Tree_1_2
Position: (166.70, 0.00, 5.41)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Tree_1_1
Position: (131.13, 0.00, 12.39)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Tree_1_2 (1)
Position: (211.70, 0.00, 8.60)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Tree_1_2 (3)
Position: (155.98, 0.00, 14.19)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Tree_1_2 (4)
Position: (78.28, 0.00, 5.41)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Tree_1_2 (5)
Position: (42.10, 0.00, 42.50)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Tree_1_2 (6)
Position: (75.00, 0.00, 42.50)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Tree_1_2 (7)
Position: (132.58, 0.00, 44.19)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Tree_1_2 (8)
Position: (37.08, 0.00, 5.41)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Tree_1_2 (9)
Position: (108.98, 0.00, 5.41)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Tree_1_2 (10)
Position: (142.98, 0.00, 5.41)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Tree_1_2 (11)
Position: (185.98, 0.00, 42.50)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: SM_fence_stand_small (7)
Position: (198.20, -0.50, 103.40)
Rotation: (0.00, 0.00, 0.00)
Scale: (13.84, 13.84, 22.48)

Object Name: SM_fence_stand_small (8)
Position: (198.20, -0.50, 171.70)
Rotation: (0.00, 0.00, 0.00)
Scale: (13.84, 13.84, 22.48)

Object Name: SM_fence_stand_small (9)
Position: (198.20, -0.50, 216.70)
Rotation: (0.00, 0.00, 0.00)
Scale: (13.84, 13.84, 22.48)

Object Name: SM_fence_stand_small (10)
Position: (1.98, -0.50, 59.19)
Rotation: (0.00, 90.00, 0.00)
Scale: (13.84, 13.84, 22.48)

Object Name: SM_fence_stand_small (11)
Position: (46.48, -0.50, 59.19)
Rotation: (0.00, 90.00, 0.00)
Scale: (13.84, 13.84, 22.48)

Object Name: SM_fence_stand_small (12)
Position: (198.20, -0.50, 58.70)
Rotation: (0.00, 0.00, 0.00)
Scale: (13.84, 13.84, 22.48)

Object Name: SM_fence_stand_small (13)
Position: (107.38, -0.50, 59.19)
Rotation: (0.00, 90.00, 0.00)
Scale: (13.84, 13.84, 22.48)

Object Name: SM_fence_stand_small (14)
Position: (152.08, -0.50, 59.19)
Rotation: (0.00, 90.00, 0.00)
Scale: (13.84, 13.84, 22.48)

Object Name: Tree_1_2 (12)
Position: (211.70, 0.00, 8.60)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

Object Name: Tree_1_2 (2)
Position: (211.70, 0.00, 45.19)
Rotation: (0.00, 0.00, 0.00)
Scale: (1.00, 1.00, 1.00)

